iter	Passed	Remaining
552	23100	18672
553	23127	18618
554	23154	18565
555	23181	18511
556	23209	18459
557	23237	18407
558	23270	18358
559	23308	18313
560	23335	18260
561	23374	18217
562	23405	18167
563	23446	18125
564	23505	18097
565	23550	18058
566	23577	18005
567	23604	17952
568	23633	17901
569	23662	17850
570	23689	17798
571	23720	17748
572	23750	17698
573	23779	17647
574	23834	17616
575	23907	17598
576	23979	17579
577	24016	17534
578	24054	17490
579	24083	17439
580	24110	17388
581	24139	17337
582	24168	17287
583	24203	17240
584	24235	17192
585	24263	17141
586	24292	17091
587	24320	17040
588	24354	16994
589	24380	16942
590	24410	16893
591	24436	16841
592	24463	16790
593	24489	16738
594	24516	16687
595	24543	16636
596	24571	16586
597	24597	16535
598	24627	16486
599	24660	16440
600	24693	16393
601	24730	16349
602	24762	16303
603	24792	16254
604	24823	16206
605	24853	16158
606	24886	16112
607	24915	16063
608	24945	16016
609	24973	15966
610	25002	15917
611	25034	15871
612	25064	15823
613	25098	15778
614	25125	15729
615	25152	15679
616	25180	15630
617	25207	15581
618	25236	15533
619	25264	15484
620	25290	15435
621	25319	15387
622	25364	15348
623	25441	15330
624	25524	15314
625	25618	15305
626	25676	15274
627	25704	15226
628	25737	15180
629	25765	15131
630	25808	15092
631	25868	15062
632	25920	15027
633	26014	15017
634	26077	14989
635	26138	14959
636	26213	14937
637	26276	14909
638	26318	14868
639	26350	14822
640	26380	14774
641	26408	14726
642	26440	14679
643	26468	14631
644	26497	14583
645	26527	14536
646	26554	14488
647	26582	14439
648	26610	14391
649	26639	14344
650	26675	14300
651	26701	14251
652	26729	14203
653	26757	14155
654	26785	14108
655	26828	14068
656	26892	14039
657	26950	14007
658	27013	13978
659	27073	13947
660	27129	13913
661	27192	13883
662	27233	13842
663	27261	13794
664	27290	13747
665	27316	13699
666	27344	13651
667	27372	13604
668	27400	13556
669	27484	13537
670	27575	13520
671	27643	13492
672	27674	13446
673	27704	13399
674	27734	13353
675	27774	13311
676	27845	13285
677	27896	13248
678	27964	13220
679	28031	13191
680	28100	13163
681	28158	13129
682	28190	13084
683	28224	13039
684	28282	13005
685	28328	12966
686	28406	12942
687	28463	12907
688	28531	12878
689	28592	12845
690	28643	12808
691	28706	12776
692	28746	12734
693	28794	12696
694	28836	12654
695	28872	12610
696	28900	12563
697	28929	12516
698	28966	12473
699	28993	12425
700	29021	12378
701	29051	12332
702	29078	12285
703	29109	12239
704	29136	12191
705	29166	12145
706	29194	12098
707	29234	12057
708	29298	12025
709	29333	11981
710	29367	11937
711	29413	11897
712	29450	11854
713	29491	11813
714	29531	11771
715	29579	11732
716	29621	11691
717	29672	11654
718	29720	11615
719	29765	11575
720	29805	11533
721	29915	11518
722	29954	11476
723	29994	11434
724	30033	11391
725	30068	11348
726	30105	11305
727	30144	11262
728	30178	11218
729	30206	11172
730	30236	11126
731	30263	11080
732	30293	11034
733	30319	10987
734	30351	10943
735	30382	10897
736	30416	10854
737	30449	10809
738	30478	10764
739	30509	10719
740	30543	10675
741	30577	10632
742	30613	10589
743	30643	10544
744	30675	10499
745	30707	10455
746	30736	10410
747	30767	10365
748	30797	10320
749	30825	10275
750	30856	10230
751	30885	10185
752	30913	10140
753	30941	10095
754	30980	10053
755	31010	10008
756	31039	9963
757	31075	9921
758	31114	9879
759	31151	9837
760	31185	9794
761	31224	9752
762	31257	9709
763	31435	9710
764	31520	9682
765	31910	9748
766	31955	9707
767	32045	9680
768	32135	9653
769	32175	9610
770	32204	9565
771	32230	9518
772	32263	9474
773	32291	9428
774	32318	9382
775	32350	9338
776	32391	9296
777	32419	9250
778	32450	9206
779	32518	9171
780	32626	9148
781	32718	9121
782	32797	9089
783	32870	9056
784	32922	9016
785	32949	8970
786	32978	8925
787	33012	8881
788	33041	8836
789	33069	8790
790	33098	8745
791	33125	8699
792	33158	8655
793	33189	8610
794	33219	8565
795	33248	8520
796	33274	8475
797	33306	8430
798	33334	8385
799	33364	8341
800	33395	8296
801	33425	8252
802	33461	8209
803	33489	8164
804	33517	8119
805	33548	8074
806	33577	8030
807	33606	7985
808	33634	7940
809	33662	7896
810	33691	7851
811	33719	7807
812	33752	7763
813	33779	7718
814	33806	7673
815	33835	7629
816	33861	7584
817	33894	7541
818	33923	7497
819	33949	7452
820	33976	7407
821	34003	7363
822	34030	7318
823	34058	7274
824	34084	7230
825	34110	7185
826	34136	7141
827	34162	7096
828	34189	7052
829	34221	7009
830	34260	6967
831	34292	6924
832	34327	6881
833	34361	6839
834	34394	6796
835	34427	6753
836	34464	6711
837	34528	6674
838	34625	6644
839	34719	6613
840	34808	6580
841	34883	6545
842	34926	6504
843	34980	6465
844	35030	6425
845	35066	6383
846	35101	6340
847	35129	6296
848	35164	6254
849	35193	6210
850	35222	6167
851	35265	6125
852	35307	6084
853	35357	6044
854	35401	6003
855	35429	5960
856	35457	5916
857	35483	5872
858	35515	5829
859	35540	5785
860	35568	5742
861	35595	5698
862	35627	5655
863	35669	5614
864	35701	5571
865	35730	5528
866	35758	5485
867	35790	5442
868	35822	5400
869	35851	5357
870	35880	5314
871	35911	5271
872	35939	5228
873	35972	5185
874	36033	5147
875	36070	5105
876	36105	5063
877	36146	5022
878	36187	4981
879	36228	4940
880	36279	4900
881	36323	4859
882	36371	4819
883	36415	4778
884	36453	4736
885	36488	4694
886	36523	4652
887	36811	4642
888	36935	4611
889	37048	4578
890	37117	4540
891	37148	4497
892	37234	4461
893	37317	4424
894	37386	4386
895	37445	4346
896	37477	4303
897	37507	4260
898	37552	4218
899	37622	4180
900	37691	4141
901	37728	4099
902	37755	4055
903	37783	4012
904	37816	3969
905	37847	3926
906	37876	3883
907	37904	3840
908	37936	3797
909	37964	3754
910	38003	3712
911	38075	3673
912	38124	3632
913	38184	3592
914	38246	3552
915	38314	3513
916	38343	3470
917	38410	3430
918	38458	3389
919	38525	3350
920	38593	3310
921	38638	3268
922	38667	3225
923	38695	3182
924	38732	3140
925	38791	3099
926	38855	3059
927	38916	3019
928	38966	2978
929	39001	2935
930	39033	2892
931	39069	2850
932	39097	2807
933	39129	2765
934	39159	2722
935	39187	2679
936	39215	2636
937	39243	2593
938	39292	2552
939	39352	2511
940	39401	2470
941	39433	2427
942	39461	2385
943	39507	2343
944	39571	2303
945	39611	2261
946	39661	2219
947	39712	2178
948	39761	2136
949	39791	2094
950	39821	2051
951	39882	2010
952	39941	1969
953	40010	1929
954	40042	1886
955	40071	1844
956	40102	1801
957	40136	1759
958	40167	1717
959	40207	1675
960	40235	1632
961	40262	1590
962	40293	1548
963	40323	1505
964	40349	1463
965	40376	1421
966	40404	1378
967	40431	1336
968	40459	1294
969	40486	1252
970	40513	1209
971	40543	1167
972	40570	1125
973	40600	1083
974	40627	1041
975	40654	999
976	40681	957
977	40707	915
978	40751	874
979	40783	832
980	40813	790
981	40844	748
982	40874	706
983	40906	665
984	40949	623
985	41010	582
986	41076	541
987	41148	499
988	41177	457
989	41216	416
990	41251	374
991	41278	332
992	41308	291
993	41335	249
994	41367	207
995	41398	166
996	41426	124
997	41464	83
998	41494	41
999	41525	0
